State,Year,Homeowners_Avg_Premium,Homeowners_Rank,Renters_Avg_Premium,Renters_Rank
Alabama,2010,1050.0,10.0,223.0,6.0
Alabama,2011,1163.0,6.0,230.0,4.0
Alabama,2012,1248.0,6.0,239.0,3.0
Alabama,2013,1323.0,8.0,245.0,4.0
Alabama,2014,1340.0,8.0,245.0,5.0
Alabama,2015,1358.0,12.0,242.0,3.0
Alabama,2016,1386.0,12.0,245.0,4.0
Alabama,2017,1433.0,12.0,235.0,3.0
Alabama,2018,1409.0,13.0,222.0,5.0
Alabama,2019,1463.0,12.0,219.0,5.0
Alabama,2020,1501.0,10.0,225.0,4.0
Alabama,2021,1610.0,12.0,222.0,3.0
Alabama,2022,1748.0,13.0,219.0,3.0
Alaska,2010,903.0,19.0,174.0,23.0
Alaska,2011,924.0,21.0,171.0,26.0
Alaska,2012,942.0,25.0,161.0,33.0
Alaska,2013,980.0,25.0,168.0,28.0
Alaska,2014,976.0,30.0,168.0,30.0
Alaska,2015,982.0,32.0,172.0,27.0
Alaska,2016,974.0,34.0,148.0,43.0
Alaska,2017,959.0,37.0,166.0,28.0
Alaska,2018,984.0,36.0,175.0,22.0
Alaska,2019,962.0,38.0,182.0,14.0
Alaska,2020,989.0,37.0,186.0,9.0
Alaska,2021,1067.0,35.0,184.0,8.0
Alaska,2022,1129.0,38.0,186.0,9.0
Arizona,2010,666.0,42.0,197.0,13.0
Arizona,2011,675.0,43.0,200.0,12.0
Arizona,2012,691.0,44.0,195.0,17.0
Arizona,2013,724.0,44.0,192.0,17.0
Arizona,2014,765.0,44.0,195.0,16.0
Arizona,2015,810.0,45.0,191.0,17.0
Arizona,2016,803.0,46.0,181.0,19.0
Arizona,2017,825.0,46.0,178.0,20.0
Arizona,2018,843.0,46.0,175.0,22.0
Arizona,2019,850.0,46.0,164.0,24.0
Arizona,2020,866.0,45.0,164.0,19.0
Arizona,2021,917.0,46.0,160.0,25.0
Arizona,2022,1018.0,45.0,163.0,25.0
Arkansas,2010,984.0,13.0,213.0,7.0
Arkansas,2011,1029.0,15.0,220.0,7.0
Arkansas,2012,1096.0,15.0,215.0,9.0
Arkansas,2013,1183.0,14.0,212.0,9.0
Arkansas,2014,1252.0,13.0,213.0,8.0
Arkansas,2015,1312.0,14.0,235.0,6.0
Arkansas,2016,1348.0,13.0,223.0,7.0
Arkansas,2017,1373.0,13.0,212.0,7.0
Arkansas,2018,1419.0,12.0,211.0,7.0
Arkansas,2019,1456.0,13.0,208.0,7.0
Arkansas,2020,1498.0,11.0,210.0,7.0
Arkansas,2021,1611.0,11.0,206.0,5.0
